WNV_Present,Trap_type_CDC,Trap_type_GRAVID,Trap_type_SENTINEL,Species_CULEX_PIPIENS,Species_CULEX_RESTUANS,Species_CULEX_SALINARIUS,Species_CULEX_TERRITANS,Year,Week,Month,Lat,Lon,Mosquito_number
0,0,1,0,0,1,0,0,2013,29,7,41.98788069,-87.66678508,44
0,0,1,0,0,1,0,0,2013,29,7,41.98724461,-87.68941677,10
0,0,1,0,0,1,0,0,2013,29,7,41.87287286,-87.76473653,30
0,0,1,0,0,1,0,0,2013,29,7,41.99356436,-87.74542039,53
0,0,1,0,0,1,0,0,2013,29,7,41.92388736,-87.77890991,20
0,0,1,0,0,1,0,0,2013,29,7,41.9949663,-87.77083722,2
0,0,1,0,0,1,0,0,2013,29,7,41.77812886,-87.58624504,1
0,0,1,0,0,1,0,0,2013,29,7,41.77119859,-87.70310661,24
0,0,1,0,0,1,0,0,2013,29,7,41.72849003,-87.60852431,35
0,0,1,0,0,1,0,0,2013,29,7,41.96201464,-87.64684773,4
0,0,1,0,0,1,0,0,2013,29,7,42.0079975,-87.77823497,139
0,0,1,0,0,1,0,0,2013,29,7,41.91613472,-87.80109281,19
0,0,1,0,0,1,0,0,2013,29,7,42.01064327,-87.8067973,8
0,0,1,0,0,1,0,0,2013,29,7,41.75414841,-87.61272102,6
0,0,1,0,0,1,0,0,2013,29,7,41.75036957366135,-87.58445996029592,10
0,0,1,0,0,1,0,0,2013,29,7,41.74538943321954,-87.66370766029615,6
0,0,1,0,0,1,0,0,2013,29,7,41.74267048,-87.73155006,119
1,0,1,0,0,1,0,0,2013,29,7,41.74267048,-87.73155006,50
1,0,1,0,0,1,0,0,2013,29,7,41.74267156,-87.73154815,50
1,0,1,0,0,1,0,0,2013,29,7,41.74267187,-87.73154988,50
1,0,1,0,0,1,0,0,2013,29,7,41.74267861,-87.73154462,50
0,0,1,0,0,1,0,0,2013,29,7,41.73144686,-87.64972225,15
0,0,1,0,0,1,0,0,2013,29,7,41.73318788,-87.55562869,2
0,0,1,0,0,1,0,0,2013,29,7,41.9885864,-87.85447335,2
0,0,1,0,0,1,0,0,2013,29,7,41.71859582,-87.66892624,3
0,0,1,0,1,0,0,0,2013,29,7,41.79436648,-87.64892514,2
0,0,1,0,0,1,0,0,2013,29,7,41.79436648,-87.64892514,21
1,0,1,0,0,1,0,0,2013,29,7,41.79436648,-87.64892514,33
1,0,1,0,0,1,0,0,2013,29,7,41.7943668,-87.64891804,33
1,0,1,0,0,1,0,0,2013,29,7,41.79436729,-87.64892504,33
1,0,1,0,0,1,0,0,2013,29,7,41.79436811,-87.6489251,33
1,0,1,0,0,1,0,0,2013,29,7,41.79436883,-87.64891873,33
1,0,1,0,0,1,0,0,2013,29,7,41.79436888,-87.64892356,33
